club_name,player_name,age,position,club_involved_name,fee,transfer_type,transfer_movement,transfer_period,fee_cleaned,year,season
Coventry City,Micky Quinn,32,Centre-Forward,PAOK Salonika,free transfer,Transfer,out,Summer,0,1994,1994/1995
Coventry City,Lloyd McGrath,29,midfield,Portsmouth,free transfer,Transfer,out,Summer,0,1994,1994/1995
Coventry City,John Williams,26,Centre-Forward,Notts County,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Coventry City,Ray Woods,29,Attacking Midfield,Wigan,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Coventry City,Roy Wegerle,31,attack,Without Club,-,Transfer,out,Summer,NA,1994,1994/1995
Coventry City,Nigel Jemson,25,attack,Notts County,"End of loanMay 31, 1995",Loan,out,Summer,NA,1994,1994/1995
Manchester United,David May,24,Centre-Back,Blackburn,€2.10m,Transfer,in,Summer,2.1,1994,1994/1995
Manchester United,Graeme Tomlinson,18,attack,Bradford,€120Th.,Transfer,in,Summer,0.12,1994,1994/1995
Manchester United,Colin Murdock,18,Centre-Back,Man Utd U18,-,Transfer,in,Summer,NA,1994,1994/1995
Manchester United,Michael Appleton,18,midfield,Man Utd U18,-,Transfer,in,Summer,NA,1994,1994/1995
Manchester United,David Johnson,17,Left Winger,Man Utd U18,-,Transfer,in,Summer,NA,1994,1994/1995
Manchester United,Paul Scholes,19,Central Midfield,Man Utd Res.,-,Transfer,in,Summer,NA,1994,1994/1995
Manchester United,Ronnie Wallwork,16,Central Midfield,Man Utd U18,-,Transfer,in,Summer,NA,1994,1994/1995
Manchester United,Nicky Butt,19,Central Midfield,Man Utd U18,-,Transfer,in,Summer,NA,1994,1994/1995
Manchester United,Phil Neville,17,Right-Back,Man Utd U18,-,Transfer,in,Summer,NA,1994,1994/1995
Manchester United,Gary Neville,19,Right-Back,Man Utd U18,-,Transfer,in,Summer,NA,1994,1994/1995
Manchester United,Gary Walsh,26,Goalkeeper,Oldham Athletic,"End of loanJun 30, 1994",Loan,in,Summer,NA,1994,1994/1995
Manchester United,Dion Dublin,25,Centre-Forward,Coventry,€3.00m,Transfer,out,Summer,3,1994,1994/1995
Manchester United,Gary Walsh,26,Goalkeeper,Middlesbrough,€700Th.,Transfer,out,Summer,0.7,1994,1994/1995
Manchester United,Neil Whitworth,22,Centre-Back,Kilmarnock FC,€317Th.,Transfer,out,Summer,0.317,1994,1994/1995
Manchester United,Les Sealey,36,Goalkeeper,Blackpool,free transfer,Transfer,out,Summer,0,1994,1994/1995
Manchester United,Robbie Savage,19,Central Midfield,Crewe Alexandra,free transfer,Transfer,out,Summer,0,1994,1994/1995
Manchester United,Mike Phelan,31,Defensive Midfield,West Brom,free transfer,Transfer,out,Summer,0,1994,1994/1995
